,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,num-doors-four,num-doors-two,engine-location-front,engine-location-rear,horsepower-binned,price-binned
19,0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6575.0,6.184210526315789,5.465116279069767,0,1,1,0,1,0,1,0,Low,Low
20,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,5572.0,6.351351351351352,5.7317073170731705,0,1,1,0,0,1,1,0,Low,Low
21,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6377.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
22,1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,7957.0,9.791666666666666,7.833333333333333,0,1,0,1,0,1,1,0,Low,Low
23,1,148,dodge,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6229.0,7.580645161290323,6.184210526315789,0,1,1,0,1,0,1,0,Low,Low
24,1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6692.0,7.580645161290323,6.184210526315789,0,1,1,0,1,0,1,0,Low,Low
25,1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7609.0,7.580645161290323,6.184210526315789,0,1,1,0,1,0,1,0,Low,Low
26,1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,8558.0,9.791666666666666,7.833333333333333,0,1,0,1,1,0,1,0,Low,Low
27,-1,110,dodge,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,8921.0,9.791666666666666,7.833333333333333,0,1,1,0,1,0,1,0,Low,Low
28,3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12964.0,12.368421052631579,9.791666666666666,0,1,0,1,0,1,1,0,Medium,Low
29,2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,6479.0,4.795918367346939,4.351851851851852,0,1,1,0,0,1,1,0,Low,Low
30,2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,6855.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
31,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,5399.0,6.184210526315789,5.595238095238095,0,1,1,0,0,1,1,0,Low,Low
32,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,6529.0,7.833333333333333,6.911764705882353,0,1,1,0,0,1,1,0,Low,Low
33,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7129.0,7.833333333333333,6.911764705882353,0,1,1,0,0,1,1,0,Low,Low
34,0,110,honda,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7295.0,7.833333333333333,6.911764705882353,0,1,1,0,1,0,1,0,Low,Low
35,0,78,honda,std,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7295.0,7.833333333333333,6.911764705882353,0,1,1,0,1,0,1,0,Low,Low
36,0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,7895.0,8.703703703703704,7.121212121212121,0,1,1,0,0,1,1,0,Low,Low
37,0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9095.0,8.703703703703704,7.121212121212121,0,1,1,0,0,1,1,0,Low,Low
38,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8845.0,8.703703703703704,7.121212121212121,0,1,1,0,1,0,1,0,Low,Low
39,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,10295.0,8.703703703703704,7.121212121212121,0,1,1,0,1,0,1,0,Low,Low
40,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,12945.0,9.791666666666666,8.392857142857142,0,1,1,0,1,0,1,0,Low,Low
41,1,107,honda,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,10345.0,9.4,7.580645161290323,0,1,1,0,0,1,1,0,Low,Low
42,0,122,isuzu,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,6785.0,9.791666666666666,8.10344827586207,0,1,1,0,1,0,1,0,Low,Low
45,2,122,isuzu,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,11048.0,9.791666666666666,8.10344827586207,0,1,1,0,0,1,1,0,Low,Low
46,0,145,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,32250.0,15.666666666666666,12.368421052631579,0,1,1,0,1,0,1,0,Medium,High
47,0,122,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,35550.0,15.666666666666666,12.368421052631579,0,1,1,0,1,0,1,0,Medium,High
48,0,122,jaguar,std,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,36000.0,18.076923076923077,13.823529411764707,0,1,1,0,0,1,1,0,High,High
49,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,5195.0,7.833333333333333,7.580645161290323,0,1,1,0,0,1,1,0,Low,Low
50,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6095.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
51,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6795.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
52,1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,6695.0,7.580645161290323,6.184210526315789,0,1,1,0,1,0,1,0,Low,Low
53,1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7395.0,7.580645161290323,6.184210526315789,0,1,1,0,1,0,1,0,Low,Low
54,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,101.0,6000.0,10945.0,13.823529411764707,10.217391304347826,0,1,1,0,0,1,1,0,Low,Low
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,101.0,6000.0,11845.0,13.823529411764707,10.217391304347826,0,1,1,0,0,1,1,0,Low,Low
56,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.3290499999999996,3.2582999999999993,9.4,101.0,6000.0,13645.0,13.823529411764707,10.217391304347826,0,1,1,0,0,1,1,0,Low,Low
57,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.3290499999999996,3.2582999999999993,9.4,135.0,6000.0,15645.0,14.6875,10.217391304347826,0,1,1,0,0,1,1,0,Medium,Low
58,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,8845.0,9.038461538461538,7.34375,0,1,1,0,0,1,1,0,Low,Low
59,0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,8495.0,9.038461538461538,7.34375,0,1,1,0,1,0,1,0,Low,Low
60,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,10595.0,9.038461538461538,7.34375,0,1,1,0,0,1,1,0,Low,Low
61,0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,10245.0,9.038461538461538,7.34375,0,1,1,0,1,0,1,0,Low,Low
62,0,122,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,10795.0,6.527777777777778,5.595238095238095,1,0,1,0,1,0,1,0,Low,Low
63,0,115,mazda,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,11245.0,9.038461538461538,7.34375,0,1,1,0,1,0,1,0,Low,Low
64,0,118,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,18280.0,12.368421052631579,8.703703703703704,0,1,1,0,1,0,1,0,Medium,Low
65,0,122,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,18344.0,7.580645161290323,6.0256410256410255,1,0,1,0,1,0,1,0,Low,Low
66,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25552.0,10.681818181818182,9.4,1,0,0,1,1,0,1,0,Medium,Medium
67,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,28248.0,10.681818181818182,9.4,1,0,0,1,1,0,1,0,Medium,Medium
68,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,28176.0,10.681818181818182,9.4,1,0,0,1,0,1,1,0,Medium,Medium
69,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,31600.0,10.681818181818182,9.4,1,0,0,1,1,0,1,0,Medium,Medium
70,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,34184.0,14.6875,13.055555555555555,0,1,1,0,1,0,1,0,Medium,High
71,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,35056.0,14.6875,13.055555555555555,0,1,1,0,0,1,1,0,Medium,High
72,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,40960.0,16.785714285714285,14.6875,0,1,1,0,1,0,1,0,Medium,High
73,1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,45400.0,16.785714285714285,14.6875,0,1,1,0,0,1,1,0,Medium,High
74,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,16503.0,12.368421052631579,9.791666666666666,0,1,0,1,0,1,1,0,Medium,Low
75,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,5389.0,6.351351351351352,5.7317073170731705,0,1,1,0,0,1,1,0,Low,Low
76,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6189.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
77,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6669.0,7.580645161290323,6.184210526315789,0,1,1,0,0,1,1,0,Low,Low
78,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,7689.0,9.791666666666666,7.833333333333333,0,1,0,1,0,1,1,0,Low,Low
79,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9959.0,10.217391304347826,7.833333333333333,0,1,0,1,0,1,1,0,Low,Low
80,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,8499.0,9.4,7.34375,0,1,1,0,0,1,1,0,Low,Low
81,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12629.0,12.368421052631579,9.791666666666666,0,1,0,1,0,1,1,0,Medium,Low
82,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,14869.0,12.368421052631579,9.791666666666666,0,1,0,1,0,1,1,0,Medium,Low
83,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,14489.0,12.368421052631579,9.791666666666666,0,1,0,1,0,1,1,0,Medium,Low
84,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,6989.0,9.4,7.34375,0,1,1,0,1,0,1,0,Low,Low
85,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,8189.0,9.4,7.34375,0,1,1,0,1,0,1,0,Low,Low
86,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9279.0,10.217391304347826,7.833333333333333,0,1,0,1,1,0,1,0,Low,Low
87,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,9279.0,10.217391304347826,7.833333333333333,0,1,1,0,1,0,1,0,Low,Low
88,1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,5499.0,7.580645161290323,6.351351351351352,0,1,1,0,0,1,1,0,Low,Low
89,1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,7099.0,5.222222222222222,4.7,1,0,1,0,0,1,1,0,Low,Low
90,1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,6649.0,7.580645161290323,6.351351351351352,0,1,1,0,0,1,1,0,Low,Low
91,1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,6849.0,7.580645161290323,6.351351351351352,0,1,1,0,1,0,1,0,Low,Low
92,1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7349.0,7.580645161290323,6.351351351351352,0,1,1,0,1,0,1,0,Low,Low
93,1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7299.0,7.580645161290323,6.351351351351352,0,1,1,0,0,1,1,0,Low,Low
94,1,128,nissan,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7799.0,7.580645161290323,6.351351351351352,0,1,1,0,0,1,1,0,Low,Low
95,1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7499.0,7.580645161290323,6.351351351351352,0,1,1,0,1,0,1,0,Low,Low
96,1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7999.0,7.580645161290323,6.351351351351352,0,1,1,0,1,0,1,0,Low,Low
97,2,168,nissan,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8249.0,7.580645161290323,6.351351351351352,0,1,1,0,0,1,1,0,Low,Low
98,0,106,nissan,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8949.0,8.703703703703704,6.911764705882353,0,1,1,0,1,0,1,0,Low,Low
99,0,106,nissan,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,9549.0,8.703703703703704,6.911764705882353,0,1,1,0,1,0,1,0,Low,Low
100,0,128,nissan,std,four,sedan,fwd,front,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13499.0,13.823529411764707,10.681818181818182,0,1,1,0,1,0,1,0,Medium,Low
101,0,108,nissan,std,four,wagon,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,14399.0,13.823529411764707,10.681818181818182,0,1,1,0,1,0,1,0,Medium,Low
102,0,108,nissan,std,four,sedan,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13499.0,12.368421052631579,9.4,0,1,1,0,1,0,1,0,Medium,Low
